Max Daily Temperature,Min Daily Temperature
29.8,15.2
33.5,15.7
38.2,16.8
36.7,19.2
37.7,17.5
36.8,23.2
36.4,21.7
36.4,24.5
36.3,22.1
30.4,19.4
31.5,18.5
34.8,21.1
34.5,23.8
34.0,22.1
27.8,20.4
29.9,20.4
32.8,19.8
34.9,22.0
35.2,19.3
35.0,23.2
34.7,20.5
35.8,21.1
33.2,22.1
33.6,20.2
34.9,19.7
37.5,21.4
37.8,23.9
37.1,24.0
37.1,21.9
34.5,24.2
26.8,20.0
25.0,20.5
28.7,20.3
28.8,19.6
29.9,18.1
32.7,17.9
32.6,20.3
31.2,19.9
32.6,20.9
35.6,21.6
34.7,21.2
36.5,19.6
34.1,23.3
34.7,20.6
35.9,21.3
27.8,21.7
32.2,21.1
31.6,21.1
33.9,20.0
35.0,20.8
34.7,19.5
32.7,17.9
33.2,17.6
37.1,17.5
35.7,19.0
35.2,18.6
36.3,20.0
37.3,22.3
35.8,23.4
35.2,20.1
32.2,17.1
32.2,18.9
29.4,16.6
33.2,17.1
25.8,20.4
25.8,19.1
29.1,18.3
31.0,19.0
32.3,19.7
34.8,21.2
32.5,20.1
32.8,19.4
23.4,13.2
26.1,11.1
29.7,13.7
30.7,16.2
29.1,19.3
22.1,17.6
26.2,17.5
29.1,17.6
29.9,18.5
29.7,17.5
27.0,15.0
28.7,15.6
31.0,13.9
32.9,17.8
33.5,22.1
32.2,21.8
29.2,18.7
30.1,19.1
29.4,17.6
29.1,14.7
29.2,14.8
23.8,11.7
22.9,9.8
23.1,9.1
23.9,9.3
26.3,11.0
23.7,13.6
21.7,13.5
23.8,12.4
25.3,11.6
26.8,11.6
30.0,13.5
23.2,9.8
26.0,10.3
25.7,13.1
26.5,11.6
27.3,10.8
28.2,13.2
27.8,14.7
28.8,16.1
25.9,13.5
20.7,10.9
20.3,4.8
23.1,6.0
26.4,7.6
29.4,16.7
25.6,14.1
21.5,6.4
25.3,6.7
27.7,8.2
28.1,15.3
28.2,12.8
27.8,12.5
27.9,14.4
19.4,12.2
18.4,7.0
22.6,7.0
25.4,7.2
23.9,7.5
27.4,5.5
23.3,6.6
22.4,6.2
24.9,5.0
27.1,7.2
25.9,14.4
25.2,13.9
24.4,13.8
13.4,8.9
17.2,8.8
18.3,7.1
20.4,7.4
22.6,9.3
23.9,10.9
23.5,9.2
26.0,5.8
26.0,12.0
14.8,5.5
16.4,2.8
17.4,2.0
19.8,1.7
21.7,0.4
22.5,4.3
22.7,10.1
23.4,6.2
22.8,6.5
22.5,6.2
23.0,8.5
23.1,5.6
23.8,5.2
22.7,10.6
23.5,11.6
24.6,12.9
15.8,8.2
12.2,3.1
16.5,1.4
23.1,8.7
18.7,6.7
18.5,5.5
19.7,10.8
14.6,9.9
14.4,9.5
13.5,9.4
10.9,6.0
17.4,5.8
20.1,7.3
19.9,7.7
18.6,6.2
18.5,6.2
18.7,4.1
19.7,9.6
22.0,12.3
21.8,10.9
22.0,5.4
20.4,6.9
16.7,1.8
21.8,1.2
24.4,10.7
24.6,12.5
15.5,9.1
16.5,5.3
20.3,2.6
23.8,5.3
18.7,2.9
22.6,3.4
24.0,7.0
22.5,10.5
22.3,10.5
23.9,12.0
20.4,7.9
22.6,5.8
24.5,7.5
20.2,9.7
17.3,4.7
22.7,3.5
25.9,12.6
20.8,5.9
26.2,4.9
16.9,5.8
15.8,2.6
16.7,2.3
21.6,5.9
16.6,11.5
19.8,10.8
19.8,8.3
21.3,5.9
26.6,7.4
24.4,10.3
20.2,3.4
24.2,7.9
26.2,8.6
27.6,7.4
21.8,7.0
17.9,5.3
13.6,3.4
18.5,0.5
26.7,7.6
21.7,8.7
15.7,5.3
17.5,5.1
15.5,3.7
20.1,2.9
24.3,4.0
27.0,11.2
28.8,15.5
22.5,13.7
22.2,6.4
23.1,4.2
26.8,7.7
21.3,3.8
24.0,8.0
28.9,8.6
28.4,16.4
31.8,18.6
29.1,12.3
25.5,12.3
18.3,6.6
22.5,3.6
29.8,4.4
32.8,16.1
31.4,10.4
32.0,12.4
28.4,12.8
23.7,11.0
27.3,6.5
31.6,11.3
32.6,18.8
34.9,19.2
30.8,19.0
24.7,13.9
17.5,8.1
20.2,6.5
22.7,6.6
28.6,8.4
26.8,8.1
31.6,8.9
31.7,16.7
24.6,14.7
28.7,10.1
29.3,18.2
34.6,17.1
32.0,17.3
31.1,11.0
36.0,10.9
31.0,14.2
28.9,12.3
32.0,13.7
30.9,13.5
31.4,14.7
38.9,14.9
37.2,20.2
38.5,21.2
37.6,20.1
37.0,22.3
37.5,21.5
34.8,18.3
34.9,21.2
28.9,19.0
28.8,14.8
31.2,18.9
33.1,20.4
34.6,22.4
35.8,24.3
33.9,18.4
36.7,22.1
33.5,19.8
32.8,17.5
34.1,16.9
35.1,19.9
34.1,18.2
37.6,20.1
31.7,18.6
32.3,15.5
33.4,20.1
28.5,18.8
29.5,15.2
30.7,12.7
29.6,15.3
33.8,17.7
25.8,20.6
29.2,17.3
29.3,18.4
36.2,15.8
33.8,18.9
28.4,18.9
25.7,12.1
32.5,12.5
36.0,15.8
32.3,14.9
34.9,14.7
33.5,16.7
26.6,15.4
32.2,13.5
34.5,18.1
27.7,15.9
33.0,15.8
29.2,15.2
30.9,14.3
32.8,16.0
33.3,17.4
36.8,19.7
38.5,23.1
38.5,24.4
38.5,24.0
31.4,20.8
31.7,13.9
32.3,15.4
26.4,13.0
29.9,12.3
35.4,13.8
35.9,20.6
37.0,23.5
32.3,22.2
32.2,20.9
33.8,20.7
35.5,20.2
37.3,21.5
33.9,21.3
31.1,20.3
27.1,16.7
32.5,18.0
33.6,19.7
34.0,15.9
35.5,19.4
38.7,22.8
38.2,24.9
33.2,19.9
30.4,14.8
34.9,16.9
38.4,21.0
39.1,21.8
32.8,17.0
34.8,18.7
35.8,22.5
35.1,19.6
36.6,23.6
36.0,22.7
31.5,19.8
28.1,15.1
30.4,15.2
32.1,15.9
36.5,17.9
38.5,19.6
38.9,22.6
40.0,25.1
40.4,28.1
39.8,22.8
39.7,24.7
40.7,24.5
39.6,27.9
39.3,27.6
39.3,27.3
36.7,22.2
37.7,23.3
36.5,23.1
36.7,22.9
36.6,22.5
30.8,21.9
35.1,16.9
36.8,19.5
37.5,21.4
37.6,25.0
37.0,21.4
37.9,20.6
37.2,22.0
32.3,20.3
34.4,18.3
36.8,20.3
37.9,23.6
35.9,23.6
36.3,20.2
30.8,22.0
28.2,19.2
31.4,17.0
32.7,17.1
33.1,20.0
36.1,20.5
37.6,21.0
36.9,21.0
36.5,23.6
34.9,20.9
35.3,21.1
35.0,19.1
35.9,18.6
27.4,16.0
29.3,13.8
34.8,15.8
37.2,18.5
38.5,22.8
36.7,20.4
38.7,19.2
38.9,21.1
37.8,23.3
36.6,18.9
35.6,23.8
33.0,20.4
36.1,21.4
27.4,16.1
29.0,12.9
36.4,18.2
29.8,13.4
32.3,13.3
37.7,14.0
30.9,17.0
33.6,13.4
36.4,15.7
35.2,23.0
34.6,23.9
34.4,20.2
35.7,23.4
34.6,18.7
34.8,18.6
32.8,18.2
29.9,14.2
35.4,15.7
28.0,17.1
30.6,18.6
30.2,19.3
27.2,12.6
31.6,14.1
34.7,16.3
28.0,13.2
27.2,10.7
30.2,12.2
33.7,14.7
33.4,21.7
27.2,14.7
28.2,11.1
31.9,13.2
32.6,17.8
32.9,17.5
27.8,15.5
24.3,11.0
21.4,6.4
23.4,6.1
29.2,6.9
27.9,9.7
25.3,11.1
27.4,7.7
29.6,8.5
31.3,16.9
31.8,18.5
31.8,18.1
24.2,15.3
20.6,6.7
28.2,7.8
28.7,11.3
24.2,12.4
27.3,10.6
30.8,11.8
29.7,19.1
29.8,12.9
27.1,10.5
27.8,4.9
31.9,8.9
27.0,10.6
29.1,7.3
30.5,9.9
30.2,13.8
30.1,16.4
23.6,13.8
24.1,9.2
26.0,7.3
28.0,8.8
29.4,13.1
20.0,10.4
20.9,9.3
18.4,5.9
20.5,7.5
22.8,5.3
25.2,6.2
17.9,7.6
18.4,4.6
20.2,1.8
21.7,4.0
22.9,5.7
25.8,9.5
29.8,5.8
21.7,9.8
13.3,2.3
23.5,0.4
29.0,10.5
22.0,8.7
14.7,3.8
14.9,8.3
18.2,4.0
23.8,6.7
18.0,5.2
17.6,5.7
16.4,1.7
23.7,2.7
22.7,10.2
18.0,4.6
16.1,3.7
19.8,1.5
24.7,4.6
14.5,5.4
16.0,2.9
19.5,6.0
15.8,5.4
21.4,4.0
23.1,10.2
18.9,6.0
15.2,2.4
13.5,3.6
18.1,0.3
22.5,2.7
24.2,9.9
24.9,6.1
25.3,11.4
26.2,13.1
18.5,8.5
12.6,4.7
15.2,6.8
16.7,2.6
20.6,2.2
23.3,2.0
24.3,5.7
24.1,8.5
23.3,3.3
24.7,5.1
25.2,12.6
17.4,8.8
11.3,1.2
13.1,0.1
16.5,-0.6
19.7,3.6
20.0,6.1
19.8,8.0
22.2,9.9
22.3,5.4
25.3,6.4
26.5,11.7
15.3,6.6
17.1,3.5
21.8,6.2
24.4,9.9
20.5,7.3
18.2,2.3
27.8,3.1
22.9,8.9
22.3,2.1
28.2,12.8
12.7,6.2
10.7,1.2
13.5,0.9
17.1,0.5
22.3,4.8
23.7,11.7
24.7,13.4
25.3,12.0
26.4,13.8
26.3,12.1
26.4,10.2
27.3,6.3
23.8,14.3
25.5,8.9
28.7,15.0
23.1,7.6
23.5,7.1
27.5,5.7
31.3,15.9
20.1,11.7
18.5,3.5
22.6,4.4
23.4,2.7
21.4,6.4
23.1,6.7
20.1,5.6
26.4,4.2
18.9,9.8
15.9,5.9
24.2,2.3
26.9,11.6
26.5,14.2
27.6,14.5
29.9,16.1
19.6,6.9
19.2,5.0
25.4,8.5
24.5,6.0
15.8,8.9
19.7,0.9
25.2,1.6
32.2,8.5
37.7,17.6
23.3,11.5
14.0,6.3
17.7,0.6
26.2,2.9
27.2,8.5
26.8,8.1
17.8,8.1
22.3,4.1
28.0,5.9
28.8,12.0
26.6,7.5
29.0,10.9
30.3,12.0
30.9,13.6
23.3,10.1
19.0,6.8
22.6,9.6
23.3,8.7
29.0,9.7
33.4,13.3
29.0,13.7
27.4,11.8
35.0,12.9
37.7,21.6
37.8,20.2
36.2,23.9
37.4,21.7
29.0,17.2
29.6,11.7
31.4,15.4
32.9,17.3
29.3,16.4
21.7,13.5
21.3,8.2
27.7,9.9
30.5,13.8
26.2,12.3
30.3,13.9
33.5,17.3
36.4,16.3
37.9,20.7
28.1,17.2
28.7,13.2
34.0,16.0
29.0,13.4
33.9,12.5
40.2,17.6
33.0,19.6
27.3,12.5
25.8,10.6
30.0,10.9
29.2,13.8
29.9,14.1
34.1,17.7
32.8,21.1
31.2,16.2
34.0,17.2
31.1,15.1
27.0,11.4
31.0,13.5
34.6,15.5
39.4,19.2
36.1,21.1
31.2,13.7
34.8,15.3
36.2,18.6
39.2,20.7
36.4,23.0
35.6,20.1
35.7,17.8
36.9,19.5
37.4,20.1
32.1,19.4
37.4,19.4
41.7,21.3
34.2,25.0
36.7,21.8
39.3,20.8
41.5,22.1
38.1,23.0
32.2,15.5
37.4,17.1
39.5,22.5
30.4,22.2
34.4,21.9
34.5,19.6
35.5,17.5
38.0,19.6
36.3,20.7
32.7,17.8
31.3,15.7
30.6,17.1
30.2,15.9
33.6,16.7
35.7,17.5
29.6,16.2
32.7,14.9
35.2,16.7
39.4,18.7
38.0,20.5
37.9,19.1
39.1,19.9
40.8,20.8
41.6,27.0
41.3,22.9
39.0,23.5
37.1,23.1
36.5,22.2
35.1,20.9
32.7,20.9
24.8,19.0
26.0,17.3
28.0,17.2
30.3,17.8
34.7,19.0
37.4,21.8
37.0,22.1
37.4,23.0
37.9,21.8
34.4,20.2
34.2,20.9
34.5,20.4
31.9,19.2
34.1,17.8
35.5,17.6
37.1,19.5
37.4,20.0
35.9,19.3
36.5,20.8
33.9,19.7
32.8,19.8
34.8,22.8
35.8,23.4
36.2,23.1
35.1,23.2
36.5,22.9
37.4,24.2
38.8,24.2
36.6,25.6
36.1,21.2
36.7,21.8
38.4,23.4
35.3,20.2
35.5,24.7
34.8,21.8
32.2,23.8
34.4,21.2
37.3,23.3
37.5,21.8
37.8,19.1
33.2,21.6
34.5,19.2
35.4,20.5
32.6,16.1
37.6,19.8
39.9,23.2
40.5,23.5
39.3,20.5
30.5,19.6
25.5,12.1
30.9,14.4
36.8,16.4
39.5,20.9
41.4,22.8
38.4,22.3
37.6,20.7
40.4,20.9
38.5,22.3
31.0,17.7
32.6,16.0
35.8,18.1
38.1,21.3
37.4,25.0
36.0,21.6
36.6,22.4
37.1,22.5
30.9,19.1
25.8,13.3
31.7,13.9
34.9,16.6
34.1,17.3
37.6,18.1
39.8,20.5
40.2,20.3
39.2,22.5
35.0,21.8
31.1,15.4
37.7,17.2
36.5,19.1
37.7,19.2
40.6,20.4
38.7,23.8
34.4,23.2
35.2,21.5
35.7,22.9
32.9,19.4
32.9,22.2
34.3,22.1
33.8,22.2
27.5,20.1
28.9,16.2
30.7,16.0
33.0,18.2
31.7,21.4
30.7,20.0
31.3,16.1
29.9,20.2
29.9,17.1
31.4,17.0
31.5,14.3
22.4,10.6
20.9,9.4
21.1,9.5
25.4,10.3
25.8,12.0
27.8,12.0
30.5,15.5
31.4,18.9
29.2,15.9
29.6,15.7
28.3,16.6
31.1,16.8
32.5,18.8
34.1,18.6
34.1,18.9
32.9,17.7
32.7,17.4
34.3,16.0
32.9,16.1
32.9,14.3
31.4,20.9
30.5,19.7
30.7,19.0
32.5,19.6
32.1,15.2
32.8,18.6
32.0,19.5
31.4,19.5
30.7,12.7
31.1,17.7
32.3,19.6
29.8,15.2
32.7,16.7
32.3,18.8
24.5,9.4
28.8,9.7
31.2,15.0
30.3,20.0
29.8,18.0
30.1,15.3
29.9,13.4
29.4,12.8
29.8,11.7
30.4,17.1
29.4,17.2
29.1,14.3
28.1,14.9
27.8,15.7
27.4,14.3
26.9,10.2
27.0,8.8
27.4,11.7
26.8,14.8
26.1,14.9
18.8,8.3
17.2,7.6
17.7,5.4
12.1,3.8
16.8,5.6
20.9,4.2
14.3,5.6
15.2,4.2
18.0,2.6
20.7,5.1
20.9,9.5
21.7,11.0
22.7,12.0
24.2,4.9
25.5,10.9
24.9,7.2
24.7,8.9
24.8,12.3
19.3,5.7
19.3,4.2
25.6,4.7
26.1,13.9
25.6,7.1
24.9,13.8
22.5,12.1
22.6,8.0
23.7,7.9
23.2,11.1
23.1,14.0
24.4,14.7
26.0,14.3
23.0,11.4
19.8,7.4
19.8,4.4
15.4,5.1
14.4,2.2
19.1,-0.5
16.0,7.3
9.6,3.3
15.7,0.6
21.6,4.0
22.7,6.4
18.7,4.3
17.0,2.1
12.5,2.5
17.4,0.7
22.2,6.3
24.7,6.3
18.7,4.6
16.9,5.9
16.2,2.2
18.5,0.6
22.1,2.4
24.3,3.8
19.3,3.1
21.5,3.2
18.7,4.5
19.4,3.6
13.0,5.2
14.7,-0.3
17.8,1.3
20.7,1.6
23.3,5.4
22.0,4.3
27.3,3.3
19.0,10.2
13.5,2.4
20.8,1.1
27.0,7.9
24.3,6.0
19.1,4.9
26.6,7.9
20.6,7.8
20.8,4.9
27.9,8.4
18.6,7.7
25.0,3.9
28.8,10.5
27.1,11.7
25.5,7.4
31.0,4.8
31.4,15.1
25.5,12.1
25.0,6.6
30.8,13.3
23.6,12.1
21.8,6.0
27.0,7.1
25.4,8.2
14.8,5.8
16.9,1.8
24.9,3.6
28.5,15.0
29.7,16.7
32.0,16.6
31.6,16.4
30.9,16.8
21.1,10.1
24.9,7.4
26.4,8.7
22.3,9.3
21.3,7.4
26.9,6.6
30.9,10.7
27.4,9.3
28.5,11.8
27.4,14.4
23.4,7.3
25.3,7.4
27.5,12.3
28.0,10.4
21.5,7.7
20.0,9.2
21.3,6.8
26.7,9.4
29.8,16.6
29.4,16.8
31.4,11.8
22.6,9.5
29.9,10.4
24.1,15.7
15.1,8.2
14.5,3.0
18.7,2.8
27.7,6.2
30.0,12.0
30.0,17.1
30.2,16.9
30.8,16.9
31.8,17.4
35.4,18.3
36.0,20.9
36.7,22.4
38.0,17.8
39.0,18.3
39.6,20.8
34.2,19.4
32.6,16.8
35.3,22.0
30.0,15.3
27.3,12.2
27.6,12.6
27.7,12.7
26.8,13.0
27.4,11.6
31.1,14.6
34.3,14.4
32.7,15.3
35.8,14.5
19.3,10.8
20.4,6.8
25.2,13.8
28.8,13.3
32.5,14.3
37.0,15.6
39.5,21.5
35.8,20.4
26.0,12.6
23.3,9.1
27.2,11.7
35.5,14.1
35.9,24.1
34.2,20.1
30.8,18.5
30.4,14.5
33.1,17.2
33.8,17.6
35.5,20.6
37.7,22.6
38.1,21.2
38.9,18.3
38.0,22.6
38.4,22.4
36.1,24.0
36.2,21.4
36.4,19.9
37.3,17.9
40.7,20.6
37.8,23.7
29.9,16.2
25.8,10.9
29.1,15.1
32.5,16.6
36.0,17.2
36.1,17.7
34.5,18.4
32.1,17.4
34.9,18.1
32.7,18.5
31.5,16.2
35.0,18.6
38.2,19.4
41.1,21.3
41.6,22.2
41.2,23.9
35.4,24.0
29.6,17.3
34.9,16.0
36.0,21.4
32.8,16.9
32.8,14.9
35.4,17.7
36.7,19.8
38.6,20.6
38.4,24.0
38.4,23.9
34.6,20.2
36.9,21.2
37.5,25.2
36.9,25.2
34.5,22.9
37.0,20.2
37.9,20.3
35.4,22.7
35.5,20.4
37.8,21.0
38.9,22.5
39.6,27.7
32.8,26.0
32.0,21.9
33.3,16.8
33.9,16.6
33.0,14.3
35.0,18.5
36.2,18.8
37.8,20.1
37.3,19.8
37.2,20.7
35.7,19.4
29.1,15.1
31.5,15.8
36.5,17.3
37.1,21.9
37.8,22.9
38.0,20.8
39.7,21.3
38.2,24.2
37.3,22.7
38.5,21.3
40.4,23.3
40.9,25.0
39.1,25.3
38.9,26.1
37.1,24.0
37.9,25.0
34.5,20.2
37.7,20.5
36.0,22.0
38.9,20.1
38.8,27.3
29.0,22.0
26.0,21.1
31.5,21.6
35.8,22.1
36.0,20.5
37.3,18.8
38.2,23.0
36.8,27.5
35.0,24.1
37.5,25.3
38.0,23.7
35.2,24.1
34.1,21.6
35.8,22.2
35.1,24.2
31.3,21.0
26.4,20.7
30.4,18.6
35.5,21.6
36.6,22.7
37.4,23.4
38.0,22.2
35.6,24.2
34.4,20.5
31.2,18.3
33.2,20.0
34.9,22.8
35.5,24.0
35.6,21.6
35.5,24.1
36.6,23.4
34.5,21.1
28.6,21.4
30.4,18.8
32.6,17.8
33.1,21.4
34.0,21.7
31.2,21.4
31.8,20.1
30.0,19.7
29.6,18.5
30.9,19.3
31.5,20.2
31.3,21.4
29.5,21.9
29.5,19.6
30.5,18.6
31.1,21.3
29.0,19.1
31.4,16.9
32.0,17.3
32.6,19.5
32.8,16.3
33.1,13.3
32.6,19.6
30.7,18.4
28.7,16.3
27.7,18.5
26.9,18.3
27.4,17.1
24.2,17.0
26.3,17.6
24.0,15.7
21.9,11.6
25.4,10.9
28.1,13.6
29.5,17.4
30.1,17.2
25.3,12.6
25.1,12.7
25.0,9.8
25.3,11.4
28.2,11.2
28.4,16.0
23.8,15.6
24.2,15.0
24.6,14.9
20.7,10.5
21.0,9.2
23.8,9.3
26.3,12.0
27.9,12.9
28.1,14.1
28.1,13.4
21.6,12.3
15.6,6.4
16.0,4.8
20.4,6.3
23.5,5.7
26.3,11.9
26.8,12.7
27.0,13.0
27.6,13.0
28.6,13.6
25.1,12.2
17.1,6.2
21.6,4.2
24.9,6.3
25.2,11.3
25.4,11.0
25.4,11.7
27.0,12.8
27.7,15.9
28.5,16.8
20.7,8.8
13.5,5.7
18.6,2.7
22.6,6.7
22.1,9.3
22.8,10.1
24.2,10.1
26.0,12.3
26.8,14.6
25.5,11.1
20.0,6.8
24.5,2.9
25.3,9.8
24.5,11.2
22.2,8.5
22.8,4.3
25.5,8.5
25.2,13.8
21.9,10.1
15.1,6.9
12.1,4.1
14.2,2.2
16.2,2.7
19.3,1.9
21.4,3.7
21.8,7.7
20.4,6.4
22.5,8.5
23.5,9.4
14.7,4.0
18.5,0.6
15.7,1.4
20.7,0.9
23.2,4.8
17.9,1.9
24.8,1.1
25.8,11.1
11.8,6.2
9.3,1.1
15.2,-1.0
19.8,-0.8
22.8,7.0
24.4,11.7
25.0,14.5
15.4,6.9
14.9,2.0
19.0,4.1
14.4,4.9
14.6,1.5
19.5,0.3
23.4,8.7
24.5,10.7
22.5,10.5
23.1,5.0
24.9,11.9
21.2,5.6
23.6,5.0
23.7,6.0
19.6,7.9
18.1,3.5
22.6,2.7
24.9,13.0
22.4,13.5
21.8,8.9
22.2,10.3
22.6,11.2
18.9,6.9
19.8,4.0
21.3,3.9
23.8,5.7
20.8,12.0
25.0,13.0
17.4,7.8
18.3,2.6
23.3,3.5
25.8,12.2
26.4,13.3
19.1,8.3
13.2,4.6
17.7,2.4
21.1,4.8
23.3,9.9
15.2,3.2
23.5,0.8
28.0,10.1
26.7,8.7
26.2,9.7
19.6,8.5
18.7,6.2
22.8,4.8
27.1,6.4
23.1,6.8
26.8,4.7
24.4,5.2
22.6,5.4
21.0,5.9
23.7,3.0
29.4,9.2
33.1,13.6
30.1,14.8
26.0,15.0
25.1,10.4
28.6,11.0
33.3,13.2
33.0,13.5
34.3,14.3
31.9,13.0
33.6,12.3
30.2,14.7
27.0,9.4
29.4,12.7
30.2,12.9
32.7,13.1
31.3,15.5
27.6,11.4
31.5,10.7
28.5,14.8
28.5,9.9
31.2,10.3
21.3,7.9
23.0,7.3
26.0,8.5
33.7,9.0
32.8,19.8
33.9,17.7
23.6,9.9
27.7,8.8
25.0,9.8
26.8,11.3
31.2,12.5
22.8,15.4
23.8,13.9
25.9,11.7
29.0,11.9
33.9,18.4
25.4,11.4
32.7,10.6
33.5,14.2
26.7,18.7
24.5,11.4
28.8,9.5
30.9,12.4
34.9,12.2
36.3,20.2
28.1,18.8
28.0,15.9
32.9,15.9
27.2,14.7
27.8,11.4
29.0,10.7
36.4,12.8
31.4,20.2
30.9,14.5
31.1,17.3
27.5,18.1
31.3,16.5
34.1,20.4
35.6,20.3
29.2,16.9
22.7,10.0
26.7,9.8
30.7,12.3
32.5,17.7
34.1,16.5
35.0,20.3
27.2,13.1
30.2,12.0
35.6,14.8
34.1,21.8
36.3,21.6
33.0,21.2
32.9,18.8
29.2,19.0
25.4,17.5
27.3,16.6
31.5,17.7
33.7,18.6
37.3,20.6
34.4,20.6
23.6,18.4
28.0,16.0
31.0,17.8
34.6,19.6
35.3,17.9
36.7,17.9
36.9,19.8
39.2,20.4
30.0,16.5
31.6,17.5
33.8,18.8
37.3,20.3
37.9,23.4
31.7,22.2
30.0,14.9
33.5,18.1
36.2,20.3
35.1,21.8
35.3,19.6
37.2,21.1
36.6,22.8
36.5,20.1
37.2,20.3
37.5,23.5
36.0,19.5
37.1,19.4
38.0,22.3
24.5,19.8
24.5,14.3
31.6,13.5
34.8,20.3
35.1,21.1
30.8,19.7
34.6,15.8
35.8,19.1
35.1,22.6
34.2,21.1
35.6,22.9
32.0,22.0
32.8,18.6
35.5,18.8
37.3,20.3
35.3,20.9
37.0,20.6
38.7,21.8
39.5,24.7
38.8,25.4
