player,shot_type,hit_type,hit_court_side,bounce_court_side,bounce_location_long,hit_velocity_x,hit_velocity_y,hit_velocity_z,bounce_y
guest,first_serve,first_serve,far,near,service_box,-1.248,-41.121,-3.428,7.709
host,second_serve,second_serve,near,far,service_box,-8.613,29.833,-1.479,17.183
host,none,feed,near,near,service_box,4.694,4.694,4.694,6.671
host,none,ground_stroke,near,near,service_box,0.891,12.367,4.022,5.697
host,none,ground_stroke,near,far,service_box,-2.844,14.634,4.08,16.274
guest,second_serve,second_serve,far,near,service_box,24.408,24.408,24.408,5.538
host,return,ground_stroke,near,far,no_mans_land,0.894,16.093,6.389,20.818
host,serve_plus_one,ground_stroke,near,near,service_box,0.484,11.436,6.121,8.666
guest,first_serve,first_serve,far,near,service_box,-4.952,-36.549,-2.681,6.159
host,return,ground_stroke,near,far,service_box,4.039,17.081,3.587,16.734
guest,serve_plus_one,ground_stroke,far,near,no_mans_land,1.824,-27.124,2.141,4.265
host,return_plus_one,ground_stroke,near,near,service_box,-1.068,13.958,4.318,5.672
host,in_play,ground_stroke,near,near,service_box,14.379,10.417,3.427,5.585
host,none,ground_stroke,near,far,service_box,-3.673,14.801,4.33,17.795
host,none,ground_stroke,near,near,service_box,1.468,18.121,2.902,6.868
guest,none,ground_stroke,near,far,out,2.484,16.823,6.802,24.981
guest,none,feed,near,far,service_box,4.47,4.47,4.47,18.16
guest,none,ground_stroke,near,far,no_mans_land,-1.062,19.562,4.13,21.712
guest,none,ground_stroke,near,far,out,1.604,17.033,7.03,23.93
guest,none,ground_stroke,near,far,service_box,0.787,20.672,2.547,17.954
guest,none,ground_stroke,near,far,service_box,19.312,19.312,19.312,16.099
guest,none,ground_stroke,near,far,service_box,0.203,15.972,4.767,18.202
guest,first_serve,first_serve,near,near,service_box,-18.815,25.45,-2.229,7.993
guest,return,ground_stroke,near,far,no_mans_land,5.326,16.479,4.882,19.47
guest,first_serve,first_serve,near,far,service_box,1.331,24.827,0.375,17.701
host,return,ground_stroke,far,near,no_mans_land,0.453,-18.852,4.504,3.839
guest,serve_plus_one,ground_stroke,near,near,service_box,-0.794,20.87,4.54,5.722
guest,first_serve,first_serve,near,far,no_mans_land,-2.33,33.391,1.541,20.544
host,return,ground_stroke,far,near,no_mans_land,-0.398,-23.706,1.965,3.353
guest,serve_plus_one,ground_stroke,near,near,service_box,3.444,21.647,1.863,11.602
guest,first_serve,first_serve,near,far,service_box,1.777,20.461,0.817,16.748
guest,first_serve,first_serve,near,far,no_mans_land,0.475,26.981,1.286,20.275
guest,second_serve,second_serve,near,far,no_mans_land,2.268,24.55,0.976,19.817
guest,return,ground_stroke,near,far,out,-0.465,22.053,4.789,24.63
host,serve_plus_one,ground_stroke,far,near,no_mans_land,0.208,-14.192,-0.491,3.371
guest,return_plus_one,ground_stroke,near,far,no_mans_land,0.572,20.091,4.386,20.386
host,in_play,ground_stroke,far,near,service_box,-1.404,-20.417,1.401,7.909
guest,in_play,ground_stroke,near,far,service_box,4.661,27.576,1.035,17.171
